Frame,Joint,X,Y
0,0,58,73
0,1,57,68
0,2,57,68
0,3,57,68
0,4,56,67
0,5,55,67
0,6,55,67
0,7,53,69
0,8,50,68
0,9,57,78
0,10,56,77
0,11,51,103
0,12,39,88
0,13,60,134
0,14,22,119
0,15,77,147
0,16,5,148
0,17,81,150
0,18,2,152
0,19,82,147
0,20,2,154
0,21,81,146
0,22,3,154
0,23,40,166
0,24,36,165
0,25,29,212
0,26,48,206
0,27,14,259
0,28,62,251
0,29,9,267
0,30,62,262
0,31,27,268
0,32,76,251
1,0,59,74
1,1,58,69
1,2,58,69
1,3,58,69
1,4,58,69
1,5,57,68
1,6,56,68
1,7,54,69
1,8,52,69
1,9,58,79
1,10,57,78
1,11,51,102
1,12,41,90
1,13,60,134
1,14,23,120
1,15,78,146
1,16,7,147
1,17,82,149
1,18,3,152
1,19,83,146
1,20,4,153
1,21,82,146
1,22,5,153
1,23,41,167
1,24,41,166
1,25,30,212
1,26,51,208
1,27,14,259
1,28,65,251
1,29,9,266
1,30,65,262
1,31,27,267
1,32,79,251
2,0,62,75
2,1,61,70
2,2,60,70
2,3,60,70
2,4,60,70
2,5,59,69
2,6,59,69
2,7,56,70
2,8,54,70
2,9,61,79
2,10,60,79
2,11,54,102
2,12,43,92
2,13,62,134
2,14,25,121
2,15,79,146
2,16,9,147
2,17,84,149
2,18,6,152
2,19,85,146
2,20,7,153
2,21,83,145
2,22,8,153
2,23,45,167
2,24,42,167
2,25,32,211
2,26,54,209
2,27,15,258
2,28,69,251
2,29,9,265
2,30,69,262
2,31,27,266
2,32,83,251
3,0,64,75
3,1,63,70
3,2,63,70
3,3,62,70
3,4,62,70
3,5,62,70
3,6,61,70
3,7,58,71
3,8,57,71
3,9,63,80
3,10,62,79
3,11,55,102
3,12,47,92
3,13,64,134
3,14,29,122
3,15,83,146
3,16,14,147
3,17,88,149
3,18,9,152
3,19,89,146
3,20,10,153
3,21,87,145
3,22,11,152
3,23,47,167
3,24,46,167
3,25,33,210
3,26,58,209
3,27,15,256
3,28,71,252
3,29,10,263
3,30,71,262
3,31,27,265
3,32,84,252
4,0,67,76
4,1,65,72
4,2,65,71
4,3,65,71
4,4,65,71
4,5,65,71
4,6,64,71
4,7,61,73
4,8,60,72
4,9,65,81
4,10,65,80
4,11,57,102
4,12,54,93
4,13,60,134
4,14,41,130
4,15,69,148
4,16,32,154
4,17,71,151
4,18,28,158
4,19,72,150
4,20,29,158
4,21,71,149
4,22,30,158
4,23,49,167
4,24,51,167
4,25,35,210
4,26,61,209
4,27,16,254
4,28,72,252
4,29,11,261
4,30,72,262
4,31,27,265
4,32,84,255
5,0,70,76
5,1,68,71
5,2,68,71
5,3,68,71
5,4,68,71
5,5,68,71
5,6,67,71
5,7,64,72
5,8,64,73
5,9,69,80
5,10,68,80
5,11,55,99
5,12,60,97
5,13,36,129
5,14,69,140
5,15,23,152
5,16,87,153
5,17,22,155
5,18,91,157
5,19,22,156
5,20,92,155
5,21,23,155
5,22,90,153
5,23,51,166
5,24,57,167
5,25,38,209
5,26,66,208
5,27,18,253
5,28,74,253
5,29,12,260
5,30,73,262
5,31,27,265
5,32,85,260
6,0,74,76
6,1,72,71
6,2,72,71
6,3,72,71
6,4,72,71
6,5,71,71
6,6,71,71
6,7,67,72
6,8,67,72
6,9,73,80
6,10,72,80
6,11,58,98
6,12,63,97
6,13,44,130
6,14,70,140
6,15,33,154
6,16,88,154
6,17,30,158
6,18,90,158
6,19,31,159
6,20,92,155
6,21,32,157
6,22,90,153
6,23,58,166
6,24,61,167
6,25,42,209
6,26,63,210
6,27,38,249
6,28,63,255
6,29,34,257
6,30,61,263
6,31,44,256
6,32,73,264
7,0,77,75
7,1,75,70
7,2,75,70
7,3,75,70
7,4,75,71
7,5,74,71
7,6,74,71
7,7,71,72
7,8,70,72
7,9,76,79
7,10,75,80
7,11,68,98
7,12,63,96
7,13,70,135
7,14,53,133
7,15,86,154
7,16,62,154
7,17,90,160
7,18,82,161
7,19,91,159
7,20,82,161
7,21,89,157
7,22,53,164
7,23,63,165
7,24,63,166
7,25,48,210
7,26,69,210
7,27,27,247
7,28,74,256
7,29,23,249
7,30,70,264
7,31,36,259
7,32,84,265
8,0,80,74
8,1,79,70
8,2,79,70
8,3,78,70
8,4,78,70
8,5,78,70
8,6,77,70
8,7,75,72
8,8,73,72
8,9,79,79
8,10,78,79
8,11,71,98
8,12,66,95
8,13,74,135
8,14,55,135
8,15,90,160
8,16,51,171
8,17,93,165
8,18,51,179
8,19,94,164
8,20,52,180
8,21,93,162
8,22,50,178
8,23,67,165
8,24,64,166
8,25,56,212
8,26,71,212
8,27,29,241
8,28,76,257
8,29,24,240
8,30,73,266
8,31,36,260
8,32,87,268
9,0,83,73
9,1,81,69
9,2,81,69
9,3,81,69
9,4,81,70
9,5,80,70
9,6,80,70
9,7,77,71
9,8,76,72
9,9,82,78
9,10,81,78
9,11,72,98
9,12,71,95
9,13,68,136
9,14,74,134
9,15,79,164
9,16,89,165
9,17,76,171
9,18,91,172
9,19,78,171
9,20,92,171
9,21,79,169
9,22,91,170
9,23,68,164
9,24,69,164
9,25,64,211
9,26,76,212
9,27,36,237
9,28,77,258
9,29,31,234
9,30,73,266
9,31,35,260
9,32,88,268
10,0,86,73
10,1,85,69
10,2,84,69
10,3,84,69
10,4,84,69
10,5,83,69
10,6,83,69
10,7,81,71
10,8,79,71
10,9,85,78
10,10,84,78
10,11,76,98
10,12,74,95
10,13,76,137
10,14,79,134
10,15,83,163
10,16,88,165
10,17,85,171
10,18,90,171
10,19,87,171
10,20,90,171
10,21,86,168
10,22,90,169
10,23,71,164
10,24,72,164
10,25,70,211
10,26,78,212
10,27,45,233
10,28,77,259
10,29,40,231
10,30,73,268
10,31,42,256
10,32,89,269
11,0,89,73
11,1,88,68
11,2,88,68
11,3,88,68
11,4,88,68
11,5,87,68
11,6,86,68
11,7,84,69
11,8,82,69
11,9,88,77
11,10,87,77
11,11,80,97
11,12,75,94
11,13,79,137
11,14,75,134
11,15,86,166
11,16,83,168
11,17,87,175
11,18,85,177
11,19,89,175
11,20,87,177
11,21,88,172
11,22,86,174
11,23,77,166
11,24,75,165
11,25,75,213
11,26,77,214
11,27,50,232
11,28,76,258
11,29,46,230
11,30,73,267
11,31,50,254
11,32,88,269
12,0,92,72
12,1,91,67
12,2,91,67
12,3,91,67
12,4,90,67
12,5,90,67
12,6,89,67
12,7,87,68
12,8,85,68
12,9,91,77
12,10,90,77
12,11,84,97
12,12,77,93
12,13,83,134
12,14,78,131
12,15,87,163
12,16,84,165
12,17,87,172
12,18,85,174
12,19,88,172
12,20,86,174
12,21,87,169
12,22,85,171
12,23,82,166
12,24,77,165
12,25,83,211
12,26,80,213
12,27,64,233
12,28,76,258
12,29,58,231
12,30,73,267
12,31,62,250
12,32,87,268
13,0,95,71
13,1,94,66
13,2,93,66
13,3,93,66
13,4,93,66
13,5,92,66
13,6,92,66
13,7,90,67
13,8,88,67
13,9,93,76
13,10,92,76
13,11,85,93
13,12,82,91
13,13,85,130
13,14,84,127
13,15,90,161
13,16,93,159
13,17,91,170
13,18,95,170
13,19,92,170
13,20,96,171
13,21,91,167
13,22,95,166
13,23,85,162
13,24,81,161
13,25,90,208
13,26,81,208
13,27,72,234
13,28,75,254
13,29,66,235
13,30,73,264
13,31,76,253
13,32,87,268
14,0,98,71
14,1,97,66
14,2,97,66
14,3,97,66
14,4,96,66
14,5,96,66
14,6,95,66
14,7,93,67
14,8,91,67
14,9,97,75
14,10,96,75
14,11,89,92
