Frame,Joint,X,Y
9,0,19,143
9,1,18,140
9,2,18,140
9,3,18,140
9,4,17,140
9,5,17,140
9,6,16,141
9,7,17,142
9,8,14,143
9,9,19,147
9,10,18,147
9,11,20,161
9,12,7,163
9,13,21,180
9,14,-3,179
9,15,25,182
9,16,0,190
9,17,27,182
9,18,2,194
9,19,27,179
9,20,3,191
9,21,26,179
9,22,3,189
9,23,14,209
9,24,7,209
9,25,11,238
9,26,11,233
9,27,0,230
9,28,16,262
9,29,-2,226
9,30,15,264
9,31,0,236
9,32,24,271
10,0,19,143
10,1,18,140
10,2,18,140
10,3,18,140
10,4,17,140
10,5,17,140
10,6,16,140
10,7,16,141
10,8,14,143
10,9,19,146
10,10,18,147
10,11,20,161
10,12,6,162
10,13,21,180
10,14,-3,177
10,15,25,182
10,16,0,190
10,17,27,182
10,18,1,193
10,19,27,179
10,20,3,191
10,21,26,179
10,22,3,189
10,23,13,205
10,24,8,206
10,25,9,233
10,26,14,233
10,27,0,224
10,28,16,265
10,29,-3,222
10,30,15,271
10,31,0,231
10,32,24,272
11,0,23,143
11,1,22,140
11,2,22,140
11,3,22,140
11,4,21,140
11,5,21,140
11,6,20,140
11,7,20,142
11,8,17,143
11,9,23,146
11,10,22,147
11,11,23,162
11,12,10,162
11,13,21,181
11,14,0,177
11,15,27,185
11,16,6,191
11,17,29,185
11,18,7,195
11,19,30,184
11,20,9,193
11,21,28,183
11,22,9,192
11,23,17,206
11,24,12,206
11,25,15,233
11,26,16,235
11,27,12,251
11,28,17,264
11,29,11,258
11,30,16,271
11,31,17,258
11,32,24,272
12,0,24,143
12,1,23,140
12,2,23,140
12,3,22,140
12,4,22,140
12,5,21,140
12,6,21,140
12,7,20,142
12,8,18,143
12,9,24,146
12,10,23,147
12,11,24,162
12,12,10,162
12,13,21,181
12,14,0,177
12,15,27,186
12,16,7,192
12,17,30,186
12,18,8,196
12,19,30,185
12,20,10,194
12,21,29,185
12,22,9,192
12,23,18,206
12,24,12,206
12,25,16,234
12,26,16,236
12,27,10,245
12,28,17,265
12,29,8,246
12,30,16,272
12,31,13,251
12,32,25,272
13,0,27,143
13,1,26,140
13,2,26,140
13,3,26,140
13,4,25,140
13,5,25,140
13,6,24,141
13,7,24,142
13,8,22,143
13,9,27,147
13,10,26,147
13,11,27,163
13,12,15,162
13,13,25,182
13,14,5,178
13,15,30,188
13,16,13,192
13,17,32,190
13,18,15,196
13,19,33,189
13,20,16,193
13,21,32,188
13,22,16,192
13,23,22,205
13,24,16,205
13,25,19,235
13,26,20,236
13,27,11,241
13,28,19,266
13,29,8,228
13,30,17,273
13,31,12,250
13,32,26,274
14,0,32,143
14,1,30,140
14,2,30,140
14,3,30,140
14,4,30,140
14,5,29,141
14,6,29,141
14,7,28,142
14,8,27,143
14,9,32,147
14,10,31,147
14,11,31,163
14,12,20,162
14,13,28,182
14,14,11,181
14,15,33,189
14,16,21,192
14,17,35,193
14,18,24,195
14,19,36,192
14,20,25,192
14,21,35,190
14,22,24,192
14,23,26,206
14,24,21,205
14,25,24,237
14,26,26,237
14,27,19,265
14,28,13,241
14,29,17,270
14,30,10,239
14,31,25,273
14,32,7,244
15,0,32,143
15,1,31,140
15,2,31,140
15,3,30,140
15,4,30,140
15,5,30,141
15,6,29,141
15,7,29,142
15,8,27,143
15,9,32,147
15,10,31,147
15,11,31,164
15,12,20,162
15,13,29,184
15,14,11,181
15,15,36,190
15,16,22,192
15,17,37,193
15,18,24,194
15,19,38,191
15,20,25,191
15,21,37,190
15,22,25,191
15,23,26,206
15,24,21,205
15,25,25,238
15,26,26,237
15,27,13,251
15,28,19,259
15,29,11,252
15,30,15,241
15,31,16,258
15,32,23,268
16,0,36,144
16,1,35,141
16,2,35,141
16,3,35,141
16,4,34,141
16,5,34,141
16,6,33,141
16,7,33,143
16,8,31,143
16,9,36,147
16,10,35,147
16,11,35,164
16,12,25,162
16,13,33,184
16,14,17,182
16,15,39,192
16,16,28,189
16,17,41,194
16,18,31,191
16,19,42,193
16,20,32,189
16,21,41,192
16,22,32,188
16,23,30,206
16,24,25,206
16,25,29,238
16,26,31,237
16,27,20,261
16,28,18,236
16,29,14,254
16,30,15,243
16,31,18,263
16,32,15,249
17,0,36,144
17,1,35,141
17,2,35,141
17,3,35,141
17,4,34,141
17,5,34,141
17,6,33,141
17,7,33,142
17,8,31,143
17,9,36,147
17,10,35,147
17,11,35,164
17,12,25,162
17,13,33,184
17,14,18,182
17,15,39,192
17,16,29,189
17,17,41,194
17,18,32,190
17,19,42,193
17,20,33,188
17,21,41,192
17,22,32,187
17,23,29,206
17,24,25,206
17,25,32,239
17,26,31,241
17,27,20,263
17,28,18,240
17,29,14,255
17,30,15,228
17,31,18,264
17,32,12,243
18,0,36,144
18,1,35,141
18,2,35,141
18,3,35,141
18,4,34,141
18,5,34,141
18,6,33,141
18,7,33,142
18,8,31,143
18,9,36,147
18,10,35,147
18,11,35,164
18,12,25,162
18,13,33,184
18,14,17,182
18,15,40,192
18,16,29,189
18,17,42,194
18,18,31,189
18,19,42,192
18,20,32,187
18,21,41,192
18,22,32,187
18,23,30,206
18,24,25,206
18,25,33,238
18,26,28,240
18,27,18,234
18,28,20,263
18,29,13,239
18,30,17,268
18,31,14,244
18,32,25,272
19,0,36,144
19,1,35,141
19,2,35,141
19,3,35,141
19,4,34,141
19,5,34,141
19,6,33,141
19,7,33,142
19,8,31,143
19,9,36,147
19,10,35,147
19,11,35,164
19,12,25,162
19,13,34,184
19,14,18,182
19,15,40,192
19,16,29,188
19,17,42,194
19,18,32,189
19,19,42,192
19,20,33,187
19,21,41,192
19,22,32,187
19,23,30,206
19,24,25,206
19,25,33,238
19,26,28,239
19,27,17,232
19,28,20,265
19,29,15,230
19,30,17,272
19,31,13,243
19,32,26,275
20,0,40,144
20,1,39,141
20,2,39,141
20,3,39,141
20,4,39,141
20,5,38,141
20,6,38,141
20,7,37,143
20,8,36,143
20,9,40,147
20,10,40,147
20,11,38,164
20,12,30,162
20,13,36,184
20,14,25,182
20,15,41,193
20,16,36,184
20,17,43,195
20,18,38,185
20,19,44,193
20,20,39,182
20,21,43,193
20,22,38,182
20,23,33,206
20,24,29,206
20,25,36,235
20,26,33,240
20,27,22,233
20,28,20,264
20,29,20,233
20,30,18,267
20,31,19,245
20,32,26,274
21,0,41,144
21,1,40,141
21,2,40,141
21,3,39,141
21,4,39,141
21,5,39,141
21,6,38,141
21,7,37,143
21,8,36,143
21,9,41,147
21,10,40,147
21,11,39,164
21,12,30,162
21,13,36,184
21,14,25,182
21,15,41,192
21,16,36,184
21,17,43,195
21,18,39,184
21,19,43,193
21,20,39,181
21,21,42,193
21,22,39,182
21,23,34,207
21,24,29,206
21,25,41,235
21,26,30,240
21,27,23,232
21,28,20,265
21,29,20,229
21,30,18,270
21,31,19,244
21,32,26,275
22,0,44,143
22,1,43,141
22,2,43,141
22,3,43,141
22,4,43,141
22,5,42,141
22,6,42,141
22,7,41,142
22,8,40,143
22,9,44,147
22,10,44,147
22,11,43,164
22,12,35,160
22,13,40,184
22,14,30,181
22,15,45,192
22,16,42,180
22,17,46,194
22,18,45,179
22,19,47,193
22,20,45,177
22,21,46,192
22,22,45,177
22,23,38,207
22,24,33,205
22,25,48,233
22,26,29,240
22,27,30,236
22,28,20,265
22,29,27,232
22,30,18,270
22,31,26,245
22,32,26,275
23,0,45,143
23,1,44,140
23,2,44,140
23,3,43,140
23,4,43,140
23,5,43,140
23,6,42,140
23,7,42,142
23,8,40,142
23,9,45,146
23,10,44,146
23,11,43,163
23,12,35,159
23,13,40,184
23,14,31,180
23,15,44,193
23,16,43,179
23,17,46,195
23,18,46,179
23,19,46,194
23,20,46,177
23,21,46,193
23,22,45,177
23,23,38,207
23,24,33,205
23,25,48,232
23,26,29,239
23,27,30,237
23,28,20,265
23,29,28,233
23,30,17,270
23,31,26,245
23,32,26,275
24,0,49,141
24,1,48,139
24,2,48,139
24,3,48,139
24,4,47,139
24,5,47,139
24,6,46,139
24,7,46,141
24,8,44,141
24,9,49,145
24,10,48,145
24,11,46,161
24,12,40,158
24,13,43,183
24,14,37,179
24,15,49,191
24,16,49,175
24,17,50,194
24,18,52,173
24,19,50,193
24,20,52,171
24,21,50,193
24,22,51,171
24,23,44,207
24,24,37,205
24,25,53,228
24,26,30,239
24,27,37,237
24,28,21,264
24,29,34,235
24,30,17,268
24,31,34,252
24,32,26,276
25,0,54,140
25,1,52,137
25,2,52,137
25,3,52,137
25,4,52,138
25,5,52,138
25,6,51,138
25,7,50,139
25,8,49,140
25,9,53,144
25,10,53,144
25,11,50,160
25,12,45,157
25,13,47,181
25,14,43,177
25,15,52,190
25,16,55,171
25,17,53,193
25,18,58,168
25,19,53,193
25,20,57,166
25,21,54,189
25,22,57,167
25,23,48,205
25,24,42,204
25,25,58,224
25,26,33,236
25,27,45,242
25,28,21,263
25,29,41,244
25,30,18,267
25,31,45,260
25,32,26,275
26,0,54,140
26,1,52,137
26,2,52,137
26,3,52,137
26,4,52,137
26,5,52,137
26,6,51,137
26,7,50,139
26,8,49,140
26,9,53,143
26,10,53,143
26,11,51,159
26,12,45,156
26,13,50,181
26,14,43,176
26,15,53,189
26,16,55,170
26,17,54,191
26,18,58,168
26,19,54,192
26,20,58,166
26,21,54,189
26,22,57,167
26,23,48,204
26,24,42,203
26,25,59,224
26,26,33,235
26,27,45,243
26,28,22,263
26,29,42,244
26,30,19,266
26,31,46,260
26,32,26,276
27,0,58,139
27,1,56,136
27,2,56,136
27,3,56,136
27,4,56,136
27,5,56,136
27,6,55,137
27,7,54,138
27,8,53,139
27,9,58,142
27,10,57,142
27,11,54,157
27,12,50,154
27,13,51,181
27,14,49,174
27,15,54,189
27,16,60,167
27,17,55,192
27,18,63,165
27,19,56,192
27,20,62,163
27,21,55,189
27,22,62,164
27,23,53,202
27,24,47,200
27,25,63,223
27,26,35,233
27,27,51,248
27,28,24,259
27,29,47,251
27,30,21,261
27,31,54,265
27,32,26,275
28,0,58,139
28,1,57,136
28,2,57,136
28,3,57,136
28,4,56,136
28,5,56,136
28,6,56,136
28,7,55,138
28,8,54,139
28,9,58,142
28,10,57,142
28,11,55,157
28,12,50,154
28,13,52,181
28,14,49,173
28,15,54,192
28,16,60,167
28,17,55,196
28,18,63,166
28,19,55,195
28,20,63,164
28,21,55,193
28,22,62,164
28,23,53,201
28,24,47,199
28,25,64,223
28,26,35,232
28,27,51,250
28,28,24,258
28,29,47,253
28,30,21,260
28,31,54,265
28,32,26,275
29,0,62,138
29,1,61,135
29,2,61,135
29,3,61,135
29,4,61,135
29,5,60,135
29,6,60,136
29,7,59,137
29,8,58,138
29,9,62,141
29,10,62,141
29,11,59,156
29,12,55,154
29,13,57,179
29,14,54,172
29,15,60,188
29,16,65,165
29,17,60,192
29,18,67,163
29,19,61,190
29,20,67,161
29,21,60,188
29,22,66,162
29,23,58,200
29,24,52,199
29,25,67,222
29,26,39,230
29,27,58,252
29,28,26,253
29,29,54,256
29,30,24,254
29,31,64,266
29,32,26,272
30,0,62,137
30,1,61,135
30,2,61,135
30,3,61,135
30,4,61,135
30,5,60,135
30,6,60,135
30,7,59,137
30,8,58,137
30,9,62,141
30,10,62,141
30,11,59,156
30,12,55,154
30,13,57,179
30,14,54,172
30,15,60,188
30,16,65,164
30,17,61,193
30,18,68,162
30,19,61,191
30,20,67,161
30,21,61,189
30,22,67,161
30,23,58,200
30,24,52,198
30,25,68,222
30,26,40,228
30,27,59,252
30,28,27,252
30,29,55,257
30,30,24,253
30,31,64,266
30,32,26,270
31,0,67,137
31,1,65,134
31,2,65,134
31,3,65,134
31,4,65,134
31,5,65,134
31,6,64,135
31,7,63,136
31,8,62,137
31,9,67,140
31,10,66,140
31,11,62,154
31,12,59,153
31,13,59,173
31,14,58,170
31,15,63,178
31,16,70,163
31,17,64,180
31,18,72,161
31,19,64,178
31,20,72,160
31,21,64,177
31,22,71,160
31,23,62,199
31,24,56,198
31,25,72,222
31,26,44,227
31,27,66,255
31,28,29,248
31,29,62,261
31,30,26,249
31,31,73,266
31,32,28,265
32,0,67,137
32,1,66,134
32,2,66,134
32,3,66,134
32,4,65,134
32,5,65,134
32,6,65,134
32,7,64,136
32,8,63,137
32,9,67,140
32,10,67,140
32,11,63,155
32,12,60,153
32,13,60,173
32,14,59,170
32,15,65,170
32,16,69,163
32,17,67,177
32,18,72,161
32,19,67,169
32,20,72,160
32,21,67,174
32,22,71,160
32,23,63,200
32,24,57,199
32,25,73,222
32,26,44,227
32,27,67,254
32,28,30,247
32,29,63,260
32,30,27,248
32,31,74,265
32,32,29,265
33,0,71,136
33,1,69,133
33,2,69,133
