Frame,Joint,X,Y
0,0,35,176
0,1,34,172
0,2,34,172
0,3,34,172
0,4,33,172
0,5,32,172
0,6,32,172
0,7,32,175
0,8,29,174
0,9,35,180
0,10,33,179
0,11,33,200
0,12,20,194
0,13,28,225
0,14,11,223
0,15,30,222
0,16,27,219
0,17,32,222
0,18,31,219
0,19,33,220
0,20,32,215
0,21,32,220
0,22,31,215
0,23,23,250
0,24,14,247
0,25,37,282
0,26,19,290
0,27,15,276
0,28,10,327
0,29,12,272
0,30,8,333
0,31,7,288
0,32,16,336
1,0,36,176
1,1,35,172
1,2,35,173
1,3,35,173
1,4,34,172
1,5,33,172
1,6,32,172
1,7,32,175
1,8,29,174
1,9,35,181
1,10,34,180
1,11,33,198
1,12,20,194
1,13,28,223
1,14,13,223
1,15,32,225
1,16,29,219
1,17,33,222
1,18,33,218
1,19,34,225
1,20,33,215
1,21,33,224
1,22,32,215
1,23,26,251
1,24,16,249
1,25,39,282
1,26,19,291
1,27,17,276
1,28,10,328
1,29,12,272
1,30,8,334
1,31,10,289
1,32,17,336
2,0,37,176
2,1,36,172
2,2,36,172
2,3,36,172
2,4,36,172
2,5,35,171
2,6,34,171
2,7,33,174
2,8,30,173
2,9,37,181
2,10,35,180
2,11,34,198
2,12,20,194
2,13,28,223
2,14,15,223
2,15,33,233
2,16,31,218
2,17,34,236
2,18,35,216
2,19,35,235
2,20,35,214
2,21,34,233
2,22,34,214
2,23,28,252
2,24,18,250
2,25,41,281
2,26,20,293
2,27,19,277
2,28,10,328
2,29,14,272
2,30,7,334
2,31,13,290
2,32,17,336
3,0,39,177
3,1,38,172
3,2,38,172
3,3,38,172
3,4,37,172
3,5,36,172
3,6,36,171
3,7,34,173
3,8,32,173
3,9,38,181
3,10,37,180
3,11,35,197
3,12,21,194
3,13,29,223
3,14,17,223
3,15,35,234
3,16,34,217
3,17,37,238
3,18,37,215
3,19,37,236
3,20,37,212
3,21,36,235
3,22,36,212
3,23,29,252
